"rt","response","trial_type","trial_index","plugin_version","time_elapsed","correct","training","stimulus","correct_response","timestamp"
"4475","{""age"":""30""}","survey-text","1","2.1.0","149858","","","","",""
"9152","x","audio-keyboard-response","6","2.1.0","193018","x","true","data/A/output26-4.wav","true",""
"11189","m","audio-keyboard-response","8","2.1.0","211281","m","true","data/H/122.6-4.wav","true",""
"9128","x","audio-keyboard-response","10","2.1.0","224794","m","false","data/H/148.6-6.wav","","2026-01-23T14-20-06-283Z"
"9219","m","audio-keyboard-response","11","2.1.0","234554","m","false","data/H/175.5-5.wav","","2026-01-23T14-20-06-283Z"
"12320","x","audio-keyboard-response","12","2.1.0","247410","m","false","data/H/283-7.wav","","2026-01-23T14-20-06-283Z"
"9181","m","audio-keyboard-response","13","2.1.0","257129","x","false","data/A/output14-6.wav","","2026-01-23T14-20-06-283Z"
"11928","m","audio-keyboard-response","14","2.1.0","269585","x","false","data/A/output48-2.wav","","2026-01-23T14-20-06-283Z"
"8051","x","audio-keyboard-response","15","2.1.0","278178","m","false","data/H/292-2.wav","","2026-01-23T14-20-06-283Z"
"13629","x","audio-keyboard-response","16","2.1.0","292409","x","false","data/A/output21-1.wav","","2026-01-23T14-20-06-283Z"
"9680","m","audio-keyboard-response","17","2.1.0","302641","m","false","data/H/227.11-5.wav","","2026-01-23T14-20-06-283Z"
"10189","x","audio-keyboard-response","18","2.1.0","313410","x","false","data/A/output16-1.wav","","2026-01-23T14-20-06-283Z"
"8920","x","audio-keyboard-response","19","2.1.0","322865","x","false","data/A/output10-6.wav","","2026-01-23T14-20-06-283Z"
"8880","m","audio-keyboard-response","20","2.1.0","332298","m","false","data/H/256-5.wav","","2026-01-23T14-20-06-283Z"
"8829","m","audio-keyboard-response","21","2.1.0","341681","x","false","data/A/output19-1.wav","","2026-01-23T14-20-06-283Z"
"10608","m","audio-keyboard-response","22","2.1.0","352825","x","false","data/A/output31-5.wav","","2026-01-23T14-20-06-283Z"
"9160","x","audio-keyboard-response","23","2.1.0","362537","m","false","data/H/276-8.wav","","2026-01-23T14-20-06-283Z"
"9120","x","audio-keyboard-response","24","2.1.0","372218","m","false","data/H/153.5-3.wav","","2026-01-23T14-20-06-283Z"
"14248","m","audio-keyboard-response","25","2.1.0","387066","x","false","data/A/output28-2.wav","","2026-01-23T14-20-06-283Z"
"8621","x","audio-keyboard-response","26","2.1.0","396249","m","false","data/H/244.15-6.wav","","2026-01-23T14-20-06-283Z"
"8792","x","audio-keyboard-response","27","2.1.0","405578","x","false","data/A/output39-6.wav","","2026-01-23T14-20-06-283Z"
"10848","m","audio-keyboard-response","28","2.1.0","416994","x","false","data/A/output3-3.wav","","2026-01-23T14-20-06-283Z"
"9480","x","audio-keyboard-response","29","2.1.0","427121","m","false","data/H/290-2.wav","","2026-01-23T14-20-06-283Z"
"56285","{""Q0"":""Es ist etwas schwierig zu unterscheiden zwischen KI & Mensch gemachte Musik, man kennt aber irgendwie den Muster. ist ein sehr gutes Experiment.""}","survey-text","30","2.1.0","483923","","","","",""
