"rt","response","trial_type","trial_index","plugin_version","time_elapsed","correct","training","stimulus","correct_response","timestamp"
"8102","{""age"":""14 ""}","survey-text","1","2.1.0","351855","","","","",""
"13992","x","audio-keyboard-response","6","2.1.0","422688","x","true","data/A/output48-2.wav","true",""
"14829","x","audio-keyboard-response","8","2.1.0","445504","m","true","data/H/290-2.wav","false",""
"10080","m","audio-keyboard-response","10","2.1.0","459432","m","false","data/H/227.11-5.wav","","2026-01-23T13-58-24-506Z"
"7168","x","audio-keyboard-response","11","2.1.0","467200","m","false","data/H/244.15-6.wav","","2026-01-23T13-58-24-506Z"
"8149","m","audio-keyboard-response","12","2.1.0","476040","m","false","data/H/148.6-6.wav","","2026-01-23T13-58-24-506Z"
"3280","x","audio-keyboard-response","13","2.1.0","479984","x","false","data/A/output3-3.wav","","2026-01-23T13-58-24-506Z"
"3389","m","audio-keyboard-response","14","2.1.0","483976","x","false","data/A/output16-1.wav","","2026-01-23T13-58-24-506Z"
"7160","m","audio-keyboard-response","15","2.1.0","491727","x","false","data/A/output10-6.wav","","2026-01-23T13-58-24-506Z"
"3491","x","audio-keyboard-response","16","2.1.0","495976","x","false","data/A/output21-1.wav","","2026-01-23T13-58-24-506Z"
"10440","x","audio-keyboard-response","17","2.1.0","507008","m","false","data/H/175.5-5.wav","","2026-01-23T13-58-24-506Z"
"7528","m","audio-keyboard-response","18","2.1.0","515159","m","false","data/H/122.6-4.wav","","2026-01-23T13-58-24-506Z"
"4659","x","audio-keyboard-response","19","2.1.0","520408","x","false","data/A/output31-5.wav","","2026-01-23T13-58-24-506Z"
"8520","x","audio-keyboard-response","20","2.1.0","529575","x","false","data/A/output28-2.wav","","2026-01-23T13-58-24-506Z"
"6520","x","audio-keyboard-response","21","2.1.0","536727","m","false","data/H/276-8.wav","","2026-01-23T13-58-24-506Z"
"6621","m","audio-keyboard-response","22","2.1.0","543935","x","false","data/A/output14-6.wav","","2026-01-23T13-58-24-506Z"
"5280","x","audio-keyboard-response","23","2.1.0","549823","m","false","data/H/292-2.wav","","2026-01-23T13-58-24-506Z"
"8581","m","audio-keyboard-response","24","2.1.0","559009","m","false","data/H/153.5-3.wav","","2026-01-23T13-58-24-506Z"
"8960","x","audio-keyboard-response","25","2.1.0","568575","m","false","data/H/256-5.wav","","2026-01-23T13-58-24-506Z"
"4648","m","audio-keyboard-response","26","2.1.0","573822","m","false","data/H/283-7.wav","","2026-01-23T13-58-24-506Z"
"7421","x","audio-keyboard-response","27","2.1.0","581847","x","false","data/A/output19-1.wav","","2026-01-23T13-58-24-506Z"
"7771","m","audio-keyboard-response","28","2.1.0","590175","x","false","data/A/output26-4.wav","","2026-01-23T13-58-24-506Z"
"9251","m","audio-keyboard-response","29","2.1.0","600031","x","false","data/A/output39-6.wav","","2026-01-23T13-58-24-506Z"
"5346","{""Q0"":""""}","survey-text","30","2.1.0","605887","","","","",""
