"rt","response","trial_type","trial_index","plugin_version","time_elapsed","correct","training","stimulus","correct_response","timestamp"
"6823","{""age"":""16""}","survey-text","1","2.1.0","7722","","","","",""
"22691","m","audio-keyboard-response","6","2.1.0","44179","x","true","data/A/output31-5.wav","false",""
"11109","m","audio-keyboard-response","8","2.1.0","59347","m","true","data/H/122.6-4.wav","true",""
"9080","m","audio-keyboard-response","10","2.1.0","72971","x","false","data/A/output39-6.wav","","2026-01-23T14-05-47-528Z"
"9949","m","audio-keyboard-response","11","2.1.0","83460","m","false","data/H/290-2.wav","","2026-01-23T14-05-47-528Z"
"28341","x","audio-keyboard-response","12","2.1.0","112364","x","false","data/A/output48-2.wav","","2026-01-23T14-05-47-528Z"
"9669","x","audio-keyboard-response","13","2.1.0","122596","x","false","data/A/output10-6.wav","","2026-01-23T14-05-47-528Z"
"7331","m","audio-keyboard-response","14","2.1.0","130460","m","false","data/H/292-2.wav","","2026-01-23T14-05-47-528Z"
"8181","m","audio-keyboard-response","15","2.1.0","139203","x","false","data/A/output14-6.wav","","2026-01-23T14-05-47-528Z"
"7952","x","audio-keyboard-response","16","2.1.0","147724","x","false","data/A/output16-1.wav","","2026-01-23T14-05-47-528Z"
"7741","x","audio-keyboard-response","17","2.1.0","156028","m","false","data/H/256-5.wav","","2026-01-23T14-05-47-528Z"
"7411","m","audio-keyboard-response","18","2.1.0","163980","m","false","data/H/244.15-6.wav","","2026-01-23T14-05-47-528Z"
"12909","x","audio-keyboard-response","19","2.1.0","177452","m","false","data/H/283-7.wav","","2026-01-23T14-05-47-528Z"
"11269","m","audio-keyboard-response","20","2.1.0","189268","m","false","data/H/148.6-6.wav","","2026-01-23T14-05-47-528Z"
"9411","x","audio-keyboard-response","21","2.1.0","199260","x","false","data/A/output26-4.wav","","2026-01-23T14-05-47-528Z"
"12741","m","audio-keyboard-response","22","2.1.0","212549","m","false","data/H/153.5-3.wav","","2026-01-23T14-05-47-528Z"
"8851","m","audio-keyboard-response","23","2.1.0","221957","x","false","data/A/output21-1.wav","","2026-01-23T14-05-47-528Z"
"5440","x","audio-keyboard-response","24","2.1.0","227997","x","false","data/A/output28-2.wav","","2026-01-23T14-05-47-528Z"
"5840","x","audio-keyboard-response","25","2.1.0","234397","m","false","data/H/227.11-5.wav","","2026-01-23T14-05-47-528Z"
"4749","x","audio-keyboard-response","26","2.1.0","239701","x","false","data/A/output3-3.wav","","2026-01-23T14-05-47-528Z"
"3741","m","audio-keyboard-response","27","2.1.0","243997","x","false","data/A/output19-1.wav","","2026-01-23T14-05-47-528Z"
"9229","x","audio-keyboard-response","28","2.1.0","253773","m","false","data/H/276-8.wav","","2026-01-23T14-05-47-528Z"
"5680","m","audio-keyboard-response","29","2.1.0","260005","m","false","data/H/175.5-5.wav","","2026-01-23T14-05-47-528Z"
"28460","{""Q0"":""Megacoool und super innovativ, habt ihr echt super gemacht :)""}","survey-text","30","2.1.0","288982","","","","",""
