"rt","response","trial_type","trial_index","plugin_version","time_elapsed","correct","training","stimulus","correct_response","timestamp"
"5123","{""age"":""14""}","survey-text","1","2.1.0","160744","","","","",""
"3680","m","audio-keyboard-response","6","2.1.0","219457","x","true","data/A/output14-6.wav","false",""
"4461","m","audio-keyboard-response","8","2.1.0","230913","m","true","data/H/283-7.wav","true",""
"4389","x","audio-keyboard-response","10","2.1.0","247857","x","false","data/A/output28-2.wav","","2026-01-23T14-10-23-701Z"
"14648","m","audio-keyboard-response","11","2.1.0","263057","m","false","data/H/244.15-6.wav","","2026-01-23T14-10-23-701Z"
"6629","x","audio-keyboard-response","12","2.1.0","270217","m","false","data/H/290-2.wav","","2026-01-23T14-10-23-701Z"
"5979","m","audio-keyboard-response","13","2.1.0","276737","x","false","data/A/output26-4.wav","","2026-01-23T14-10-23-701Z"
"5080","x","audio-keyboard-response","14","2.1.0","282353","m","false","data/H/276-8.wav","","2026-01-23T14-10-23-701Z"
"25261","x","audio-keyboard-response","15","2.1.0","308169","m","false","data/H/292-2.wav","","2026-01-23T14-10-23-701Z"
"9792","x","audio-keyboard-response","16","2.1.0","318609","m","false","data/H/227.11-5.wav","","2026-01-23T14-10-23-701Z"
"4661","m","audio-keyboard-response","17","2.1.0","323913","x","false","data/A/output48-2.wav","","2026-01-23T14-10-23-701Z"
"19069","x","audio-keyboard-response","18","2.1.0","343538","m","false","data/H/153.5-3.wav","","2026-01-23T14-10-23-701Z"
"3949","m","audio-keyboard-response","19","2.1.0","348018","m","false","data/H/148.6-6.wav","","2026-01-23T14-10-23-701Z"
"5168","m","audio-keyboard-response","20","2.1.0","353738","x","false","data/A/output39-6.wav","","2026-01-23T14-10-23-701Z"
"15240","x","audio-keyboard-response","21","2.1.0","369522","x","false","data/A/output16-1.wav","","2026-01-23T14-10-23-701Z"
"5128","x","audio-keyboard-response","22","2.1.0","375218","m","false","data/H/256-5.wav","","2026-01-23T14-10-23-701Z"
"5320","m","audio-keyboard-response","23","2.1.0","381082","m","false","data/H/122.6-4.wav","","2026-01-23T14-10-23-701Z"
"14152","x","audio-keyboard-response","24","2.1.0","395770","x","false","data/A/output31-5.wav","","2026-01-23T14-10-23-701Z"
"7931","m","audio-keyboard-response","25","2.1.0","404250","x","false","data/A/output19-1.wav","","2026-01-23T14-10-23-701Z"
"19219","x","audio-keyboard-response","26","2.1.0","424026","x","false","data/A/output10-6.wav","","2026-01-23T14-10-23-701Z"
"3091","x","audio-keyboard-response","27","2.1.0","427683","x","false","data/A/output3-3.wav","","2026-01-23T14-10-23-701Z"
"5611","m","audio-keyboard-response","28","2.1.0","433842","m","false","data/H/175.5-5.wav","","2026-01-23T14-10-23-701Z"
"17720","x","audio-keyboard-response","29","2.1.0","452226","x","false","data/A/output21-1.wav","","2026-01-23T14-10-23-701Z"
"93493","{""Q0"":""es hat total spaß gemacht auch wenn ich denke dass ich ziemlich viel falsch getippt habe. War eine super Erfahrung, da ich das ganze Thema rund um KI super spannend finde.""}","survey-text","30","2.1.0","546236","","","","",""
