"rt","response","trial_type","trial_index","plugin_version","time_elapsed","correct","training","stimulus","correct_response","timestamp"
"2254","{""age"":""24""}","survey-text","1","2.1.0","474992","","","","",""
"15411","x","audio-keyboard-response","6","2.1.0","507848","x","true","data/A/output39-6.wav","true",""
"9509","x","audio-keyboard-response","8","2.1.0","519816","m","true","data/H/276-8.wav","false",""
"9269","m","audio-keyboard-response","10","2.1.0","531528","m","false","data/H/290-2.wav","","2026-01-23T14-25-10-962Z"
"14309","x","audio-keyboard-response","11","2.1.0","546496","m","false","data/H/175.5-5.wav","","2026-01-23T14-25-10-962Z"
"16611","x","audio-keyboard-response","12","2.1.0","563648","x","false","data/A/output10-6.wav","","2026-01-23T14-25-10-962Z"
"10568","x","audio-keyboard-response","13","2.1.0","574760","x","false","data/A/output48-2.wav","","2026-01-23T14-25-10-962Z"
"10640","m","audio-keyboard-response","14","2.1.0","585952","x","false","data/A/output31-5.wav","","2026-01-23T14-25-10-962Z"
"10979","m","audio-keyboard-response","15","2.1.0","597488","x","false","data/A/output3-3.wav","","2026-01-23T14-25-10-962Z"
"10152","m","audio-keyboard-response","16","2.1.0","608192","m","false","data/H/148.6-6.wav","","2026-01-23T14-25-10-962Z"
"8349","m","audio-keyboard-response","17","2.1.0","617097","m","false","data/H/244.15-6.wav","","2026-01-23T14-25-10-962Z"
"12099","m","audio-keyboard-response","18","2.1.0","629761","x","false","data/A/output21-1.wav","","2026-01-23T14-25-10-962Z"
"10432","m","audio-keyboard-response","19","2.1.0","641073","m","false","data/H/292-2.wav","","2026-01-23T14-25-10-962Z"
"15469","m","audio-keyboard-response","20","2.1.0","657217","m","false","data/H/283-7.wav","","2026-01-23T14-25-10-962Z"
"16349","m","audio-keyboard-response","21","2.1.0","674124","x","false","data/A/output28-2.wav","","2026-01-23T14-25-10-962Z"
"11120","m","audio-keyboard-response","22","2.1.0","685796","x","false","data/A/output14-6.wav","","2026-01-23T14-25-10-962Z"
"9389","x","audio-keyboard-response","23","2.1.0","695740","m","false","data/H/256-5.wav","","2026-01-23T14-25-10-962Z"
"9491","x","audio-keyboard-response","24","2.1.0","705780","x","false","data/A/output19-1.wav","","2026-01-23T14-25-10-962Z"
"9901","m","audio-keyboard-response","25","2.1.0","716228","x","false","data/A/output26-4.wav","","2026-01-23T14-25-10-962Z"
"10429","m","audio-keyboard-response","26","2.1.0","727324","m","false","data/H/122.6-4.wav","","2026-01-23T14-25-10-962Z"
"9789","m","audio-keyboard-response","27","2.1.0","737670","m","false","data/H/227.11-5.wav","","2026-01-23T14-25-10-962Z"
"9931","x","audio-keyboard-response","28","2.1.0","748150","x","false","data/A/output16-1.wav","","2026-01-23T14-25-10-962Z"
"10240","x","audio-keyboard-response","29","2.1.0","758950","m","false","data/H/153.5-3.wav","","2026-01-23T14-25-10-962Z"
"9254","{""Q0"":""scho schwer\n""}","survey-text","30","2.1.0","768718","","","","",""
